Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brazil,BRA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.06,0.19,0.41,0.53,1.72,1.74,2.53,4,5.22,6.05,7.2,9.03,9.59,10.63,11.82,12.46,13.03,13.91,14.91,15.59,17.1,
Barbados,BRB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.96,10.76,11.56,13.98,16.91,17.58,20.39,19.92,22.13,23.58,23.85,27.29,27.43,30.4,31.21,31.17,37.21,44.54,
Brunei Darussalam,BRN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.8,1.09,1.74,2.23,2.42,3.1,4.45,5.22,5.58,5.89,4.97,6.81,7.38,8.3,8.6,9.68,11.53,12.51,16.25,
Bhutan,BTN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.5,1.27,1.91,2.39,2.88,3.47,3.83,2.24,2.24,1.43,1.15,0.41,
Botswana,BWA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.1,0.19,0.46,0.51,0.6,0.95,1.09,1.05,1.59,1.74,2.73,1.47,1.78,2.14,11.04,
Central African Rep.,CAF,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,0.04,0.02,0.01,0.01,0.01,,
Canada,CAN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,1.92,4.61,9.18,11.27,14.33,17.02,21.78,24.72,27.56,29.52,30.49,31.68,32.67,33.47,34.27,35.24,36.4,36.79,37.91,38.96,40.48,41.93,
Central Europe and the Baltics,CEB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.42,0.96,2.03,3.58,7.78,11.47,13.45,15.91,17.19,19.29,19.99,21.1,21.88,22.57,23.37,24.43,25.49,26.56,27.82,
Switzerland,CHE,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,1.95,6.3,10.78,16.76,22.6,27.49,31.59,33.53,35.54,37.31,38.93,40.11,42.4,43.09,44.6,45.06,46.32,45.56,46.82,46.54,
Channel Is.,CHI,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.43,1.2,2.22,2.99,4.38,6.19,7.88,8.54,9.8,10.49,11.67,12.45,13.06,14.02,15.13,15.95,16.58,17.36,18.1,19.69,
China,CHN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.03,0.25,0.85,1.88,2.81,3.8,4.93,6.12,7.64,9.23,11.37,12.66,13.57,14.33,19.69,22.81,27.74,28.54,31.34,33.6,
Côte d'Ivoire,CIV,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.01,0.05,0.05,0.05,0.05,,,0.21,0.25,0.56,0.47,0.57,0.58,0.7,0.84,0.99,
Cameroon,CMR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.03,0.05,0.06,0.08,0.07,0.09,1.52,1.56,1.57,1.55,2.72,
Dem. Rep. Congo,COD,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0.01,0.01,0.03,
Congo,COG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.01,0.03,0.03,0.01,0.01,,,,,,0.02,
Colombia,COL,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,0.09,0.16,0.3,0.75,1.45,2.76,4,4.73,5.84,7.33,8.55,9.76,10.71,11.63,12.27,12.94,13.45,13.81,15.26,
Comoros,COM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0.01,0.02,0.01,0.05,0.06,0.17,0.18,0.21,0.21,0.21,0.2,0.18,0.15,0.12,
Cabo Verde,CPV,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.2,0.39,0.81,1.53,2.25,3.26,4.28,3.93,4.14,3.68,3.16,2.93,2.79,2.88,3.68,4.47,
Costa Rica,CRI,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.36,0.66,1.05,1.92,2.16,2.46,4.04,8.66,9.06,9.57,10.23,10.77,11.52,13.04,15.03,16.7,17.92,19.49,
Caribbean small states,CSS,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.99,1.55,2.06,3.1,3.71,4.85,6.27,6.79,7.1,8.87,9.47,10.5,12.42,13.37,14,15.53,15.57,18.01,
Cuba,CUB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.07,0.07,0.13,0.3,0.87,1.61,2.05,
Curacao,CUW,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.88,22.98,23.6,24.41,25.02,26.52,30.46,31.85,32.61,33.52,
Cayman Is.,CYM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.56,33.07,33.27,32.51,32.78,33.93,38.57,44.36,39.21,49.28,,78.52,48.69,
Cyprus,CYP,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.82,1.39,2.33,4.28,8.32,12.57,18.48,21.49,23.15,24.61,25.47,26.71,28.76,30.72,32.58,34.21,35.79,36.78,37.4,
Czech Republic,CZE,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.06,0.15,0.34,2.3,6.91,10.8,14.45,16.88,19.41,21.46,23.75,25.11,26.98,28.28,27.79,28.91,29.57,30.22,34.98,35.91,
Germany,DEU,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,2.58,3.93,5.48,8.57,13.22,18.38,24.3,28.01,30.86,32.37,33.71,34.53,35.28,36.31,37.55,38.76,40.2,41.09,42.14,43.22,
Djibouti,DJI,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0.01,0.02,0.14,0.3,0.64,0.96,1.32,1.72,2,2.24,2.64,2.61,2.58,2.66,2.51,2.54,
Dominica,DMA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.25,3.2,3.78,4.62,4.82,6.08,7.06,9.88,10.3,11.73,11.71,11.98,15.02,15.17,21.3,21.72,21.58,16.08,21.17,22.23,
Denmark,DNK,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,4.44,8.4,13.33,18.83,24.79,31.87,34.8,36.48,36.6,38.03,38.39,38.84,40.3,41.34,42.28,43.1,43.82,44.09,43.95,44.72,
Dominican Rep.,DOM,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.42,0.67,1.12,1.86,2.53,3.3,4.03,4.32,4.87,5.24,5.9,6.67,7.32,7.81,8.1,8.66,9.51,
Algeria,DZA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.11,0.41,0.51,0.84,1.4,2.32,2.5,2.68,3.09,3.36,4.11,5.71,7.05,7.76,7.26,8.32,8.64,
East Asia & Pacific (excluding high income),EAP,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.02,0.2,0.63,1.4,2.05,2.81,3.71,4.66,5.88,7.34,8.63,9.87,10.59,11.18,14.71,16.98,20.54,21.4,23.5,25.33,
Early-demographic dividend,EAR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.05,0.11,0.21,0.36,0.56,0.81,1.14,1.48,1.75,2.03,2.35,2.51,2.73,3.14,3.49,3.71,4.21,4.27,4.88,
East Asia & Pacific,EAS,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.74,1.37,2.1,3.11,3.92,4.92,5.75,6.9,8.15,9.66,10.82,12.05,12.77,13.31,16.49,18.62,21.87,22.71,24.67,26.41,
Europe & Central Asia (excluding high income),ECA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.19,0.44,0.99,1.95,3.31,5.24,6.85,8.54,9.67,11.19,12.6,13.18,14.49,15.22,16.75,18.32,18.57,19.84,
Europe & Central Asia,ECS,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,3.19,5.5,7.7,10.71,13.4,15.58,17.4,19.03,20.36,21.54,22.8,23.67,24.83,25.74,27.03,28.35,28.73,29.87,
Ecuador,ECU,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.05,0.05,0.09,0.19,0.33,0.7,1.07,1.63,1.47,4.32,5.45,6.74,8.27,9.18,9.76,10.6,11.44,12.04,13.44,
Egypt,EGY,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.08,0.11,0.19,0.34,0.61,0.97,1.33,1.75,2.18,2.65,3.03,3.39,4.14,4.73,5.43,6.73,7.57,9.14,
Euro area,EMU,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1.69,3.25,5.43,9.16,13.21,17.47,21.46,24.11,26.28,27.99,29.25,30.22,31.27,32.46,33.64,34.82,36.03,36.98,37.83,38.95,
Eritrea,ERI,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.01,0,0.01,0.01,0.02,0.03,,0.09,0.14,
Spain,ESP,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,1.13,2.98,4.98,7.85,11.44,15.07,17.73,19.83,21.04,22.7,23.72,24.49,26.11,27.8,29.02,30.26,31.44,32.5,33.41,34.62,
Estonia,EST,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,3.36,6.58,10.17,13.22,18.29,19.71,21.99,23.47,26.12,26.28,26.41,27.36,28.19,29.67,31.48,32.47,33.35,32.53,31.33,
Ethiopia,ETH,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.01,0.01,0.25,0.48,0.47,0.54,0.06,,0.14,0.18,
European Union,EUU,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.51,2.87,4.75,7.84,11.54,15.76,19.62,22.09,24.28,25.87,27.3,28.19,29.25,30.35,31.45,32.55,33.77,34.73,35.63,36.8,
Fragile and conflict affected situations,FCS,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.2,0.26,0.36,0.43,,0.81,0.87,1.1,0.92,1,1.48,1.76,1.58,1.84,
Finland,FIN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,2.58,5.25,9.4,15.26,22.33,27.08,30.52,30.42,29.31,29.06,29.8,30.43,31.63,32.2,31.56,31.14,31.03,31.45,32.48,33.32,
Fiji,FJI,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,1.03,1.38,1.54,1.5,2.7,2.69,1.56,1.26,1.43,1.47,1.41,1.38,2.16,2.41,2.57,
France,FRA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.09,0.33,1.01,2.77,5.92,10.81,15.5,20.67,25.46,28.66,31.74,33.93,35.98,37.73,39.03,40.45,41.68,42.8,43.92,44.78,45.69,46.92,
