Latin America & Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,
Least developed countries: UN classification,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,96.67192078,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,85.88829803,,,,,,,,,,,,,,,,,,,,
Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,
Low & middle income,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,40.92802811,,,,,,,,,,,,,
Late-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,98.10733795,97.93315125,97.75276947,98.12927246,98.21746063,98.47515106,98.56240845,98.70133972,98.73986053,98.71090698,98.71980286,99.08421326,99.07620239,,,99.21209717,
Luxembourg,,,,,,,,,,,,95.01217651,,,,,,,,,,,,,,
Latvia,,,,,,,,,99.35533142,,,99.20420837,99.45245361,99.47408295,99.58518219,99.68972015,99.70432281,99.65400696,,99.65397644,,,100,100,,
"Macao SAR, China",,,,,,78.85356903,,,,,83.11769104,,,,,87.59429169,,,,,89.82820892,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,98.342659,98.76703644,98.94769287,98.88513947,98.92131042,99.06974792,99.1203537,99.2903595,99.3881073,,,99.44238281,99.41896057,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,49.07669067,,,
Maldives,,,,,,,,,,,38.92773819,,,,,,,,,,,,,,,
Middle East & North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,64.60694885,,,,67.43212128,70.89231873,70.75415802,71.84829712,72.6784668,74.40158844,74.74189758,,77.18234253,78.10623932,78.78381348,79.22939301,80.11215973,81.41558075,82.75337219,,83.46855164,
Marshall Islands,,,,,,,,,,,,,,,,96.43000031,,,,,,,,,,
Middle income,,,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,,,,,,,78.60070801,,,,,,,,,,,,,,,,,,93.6417923,
Mali,,,,,,,,,,,,,,,,16.31406021,,,,14.70028019,12.82666969,,15.61793995,,13.00111008,
Malta,,,,,77.63926697,,,,,96.17909241,,96.70070648,,,97.82322693,98.07987213,98.2088089,98.435112,98.46613312,98.85703278,98.92752838,,98.93292236,,98.96880341,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,63.47473907,,
Middle East & North Africa (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,95.18139648,,,,,,,,97.48744202,,,,,,,,,,
Mongolia,,,,,94.46308136,,,,,,,,,,95.49478912,,,,,,,,,,91.02922058,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,31.76847076,,20.0336895,,,,35.60538864,,46.33929062,,,,
Mauritania,,,,,,,,,,,,,,,,,,30.46821022,,,,,,,,
Mauritius,,,,,49.16564178,,,,,,,,,,,66.98356628,,,,,,,,,,
Malawi,,,19.79980087,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,70.31008911,,,84.76921844,,,,,82.35810852,,,,90.59616089,91.21787262,,,,,,93.94287109,,,94.37373352,,
North America,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,50.03345108,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,13.86956024,,,,,,,,,
Nigeria,,,,,,,,,,,59.53075027,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,98.23574829,98.26979828,,98.58512115,98.32486725,98.24498749,98.30075836,98.31741333,98.39971924,98.46996307,98.43279266,98.44808197,98.50618744,,98.5149765,,98.56246185,
Norway,,,,,,,,,,,,100,,,100,100,,,99.65363312,99.66573334,99.67485046,99.68540192,,99.71437836,,
Nepal,,,,,,30.93103981,,,,,,,,,,41.2178688,,,,,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,51.82004929,,,,,66.37062836,,64.44374847,,,,,83.88591003,,,,,98.81748962,
Other small states,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,30.30418015,45.93362045,,43.39152908,44.96118927,46.23974991,48.34951019,47.68989182,48.53953171,49.8061409,,49.8061409,48.82521057,38.97299957,49.55467987,,
Panama,,,,,76.35756683,,,,,,,,,,82.62935638,,,,,,,,,87.49649811,,
Peru,,,,,,,,,83.59282684,71.08602142,71.1446228,72.46482849,72.31252289,72.248703,78.07003021,78.4052887,79.5449295,80.1730423,79.97563171,80.54921722,,,81.9484787,,,
Philippines,,,,,80.15219879,,,,81.73679352,,,,,,82.0612793,,,84.15698242,,,,84.04129791,,82.39414215,,
Palau,,,,,,,,,,,,,,,,,,98.59705353,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,96.93670654,,,,,,98.57956696,98.65418243,98.48026276,98.57639313,98.7421875,98.82022095,98.86946869,,99.20102692,,,,99.28411865,
Pre-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,89.03479004,,,,,,,,,,,,88.83968353,,,,,91.38791656,,,,
"Korea, Dem. People's Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,77.13645935,77.26103973,78.55818176,79.37171173,80.46711731,81.54325104,83.38643646,84.22299957,84.9868927,85.54721069,86.27623749,87.40933228,87.9329834,87.58519745,88.49507141,89.27710724,89.95001984,90.54100037,91.11743164,91.73931122,91.5428009,92.83149719,93.90474701,
