IsoCode,Economy,basket_combined_simplified,basket_current,Unit,ITURegion,LDC,LLDC,SIDS,Income_2021,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AGO,Angola,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,Africa,LDC,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,149.92,21.39,22.6,15.82,15.82,4.65,4.62
AGO,Angola,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,Africa,LDC,NA,NA,Lower middle income,6.48,6.4,6,6.19,5.22,4.11,4.1,3.4,3.2,5.83,3.47,3.47,3.13,2.38
AGO,Angola,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,Africa,LDC,NA,NA,Lower middle income,25.36,26.83,26.32,25.73,23.55,21.96,20.3,20.5,18.4,20.65,12.54,12.54,18,13.88
AGO,Angola,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,Africa,LDC,NA,NA,Lower middle income,17.65,20.16,19.46,19.24,20.7,19.46,18.6,15.4,11.2,16.18,9.75,9.75,4.49,3.08
AGO,Angola,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),GNIpc,Africa,LDC,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.42,5.42,5.27,2.38
AGO,Angola,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),PPP,Africa,LDC,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.58,19.58,30.32,13.88
AGO,Angola,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),USD,Africa,LDC,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.23,15.23,7.56,3.08
AGO,Angola,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),GNIpc,Africa,LDC,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.78,12.78,9.62,5.94
AGO,Angola,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),PPP,Africa,LDC,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.14,46.14,55.36,34.71
AGO,Angola,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),USD,Africa,LDC,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.89,35.89,13.81,7.7
