IsoCode,Economy,basket_combined_simplified,basket_current,Unit,ITURegion,LDC,LLDC,SIDS,Income_2021,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CIV,Côte d'Ivoire,Mobile data and voice high-consumption basket,Mobile data and voice high-consumption basket (140 min + 70 SMS + 2 GB),USD,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.08,10.08,15.56,13.79
CMR,Cameroon,Fixed-broadband basket,Fixed-broadband basket (5GB),GNIpc,Africa,NA,NA,NA,Lower middle income,194.22,91.69,82.23,58.13,55.87,56.3,53.76,44.94,22.84,22.59,22.34,22.34,20.78,21.03
CMR,Cameroon,Fixed-broadband basket,Fixed-broadband basket (5GB),PPP,Africa,NA,NA,NA,Lower middle income,352.6,172.64,173.26,125.88,124.81,128.08,127.67,127.67,62.03,62.39,64.18,64.18,63.35,62.6
CMR,Cameroon,Fixed-broadband basket,Fixed-broadband basket (5GB),USD,Africa,NA,NA,NA,Lower middle income,176.42,88.63,80.18,58.13,56.8,60.52,60.48,50.55,25.13,25.6,26.81,26.81,25.75,27.39
CMR,Cameroon,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),GNIpc,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,10.79,12.02,6.13,6.06,4.67,4.67,3.9,3.95
CMR,Cameroon,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),PPP,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,25.62,34.16,16.65,16.75,13.4,13.4,11.9,11.76
CMR,Cameroon,Data-only mobile-broadband basket,Data-only mobile-broadband basket (2GB),USD,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,12.14,13.53,6.75,6.87,5.6,5.6,4.84,5.15
CMR,Cameroon,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),GNIpc,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,16.44,14.4,9.2,12.2,12.02,4.5,8.67,8.1,4.23
CMR,Cameroon,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),PPP,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,34.2,26.1,33,33.21,12.92,24.91,24.7,12.6
CMR,Cameroon,Mobile-cellular low-usage basket,Mobile-cellular low-usage basket (70 min + 20 SMS),USD,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,17.67,16.2,10.3,13.4,13.62,5.4,10.41,10.04,5.51
CMR,Cameroon,Mobile data and voice low-consumption basket,Mobile data and voice low-consumption basket (70 min + 20 SMS + 500 MB),GNIpc,Africa,NA,NA,NA,Lower middle income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,7.5,5.98,7.06
