Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,45.12483978,,,,,,,,,,60.30342102,,,,,,,,,,87.30661774,,,
France,,,,,,,,,74.14022827,74.70168304,,76.93482971,77.94490814,77.97392273,79.21649933,79.81372833,80.48766327,81.50099945,82.63316345,83.20343018,83.68582916,84.21479797,,85.59565735,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,99.76856232,99.80786896,99.8556366,99.80831909,99.83229065,99.85984802,,,99.74781799,,,99.80259705
Georgia,,,,,,,91.10677338,,,,,,,,,,95.59430695,,96.70864868,,97.95188904,97.52117157,,97.66329193,
Ghana,,,,,,,,,,,,,,,54.31961823,,,,,,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,9.959549904,,,,,,,,,,,,,11.68274975,,,,10.86542034,,,,12.62919998,,
"Gambia, The",,,,,,,,,,,,,,,,,,,,30.97109032,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,58.29269028,61.94321823,61.56203079,62.02547836,,63.14907837,,,,67.52041626,69.17069244,64.80290222,,,,73.66194916
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,100,100,
Guatemala,,,,,,,17.14748001,,,,14.75459957,,,,,,24.18016052,25.45747948,,,,,,32.29368973,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,31.19338989,,,,,,,,,,,,,,,,,,
High income,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",,61.70188904,,,,,,,,,71.23396301,,72.25538635,73.10785675,73.96286774,75.39923859,,,77.4559021,78.41351318,,79.40016937,,79.86976624,
Honduras,,,,,,,,,,,,19.93351936,,,,27.64826965,27.06077003,,32.44018936,32.4770813,33.69506073,,31.18119049,40.26591873,
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,78.34911346,,,,,,,,,,89.21855927,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,87.31800842,,,,90.82015991,,,,97.64949799,97.93047333,98.20565796,98.28556824,98.39373779,96.64061737,96.76660919,97.17649841,,,,98.181427
IBRD only,,,,,,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,,,,,,,,,,,,,,,,,,,,,,,,,
IDA total,,,,,,,,,,,,,,,,,,,,,,,,,
IDA blend,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,,,,,,,,,,43.27655029,40.37876129,41.39833832,42.29053879,,44.48204041,,,47.29391861,48.80207062,43.97230911,,50.91413879,,54.57823181
IDA only,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,37.56583023,,,,,,,,,
Not classified,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,77.03061676,,,81.06819916,83.46970367,,,,,,86.16110229,,,
"Iran, Islamic Rep.",,,,,,,,,,,67.94203949,,60.12892151,,62.48841858,,64.70646667,67.73120117,68.47985077,,69.83145905,,,,
Iraq,,,,,,,,,,,,,,,,,,44.13190842,,,,,,,
Iceland,,,,,,,,,,95.84378815,,,,,,,,,,,,,,99.29284668,99.71362305
Israel,,,,,,,,,95.04686737,,75.34532928,84.35858917,,84.81770325,85.11004639,85.7394104,86.15811157,88.42713165,88.83174896,89.18135834,,,,,
Italy,,,,,,64.42241669,,,,68.75900269,69.97422791,70.87613678,71.90956116,72.8498764,73.8259964,74.77275085,75.68225861,,77.62439728,78.45825958,,,,,82.19438171
Jamaica,,,,,,,,,,,,,,,,60.71606827,,,,,,,,,
Jordan,,,,,,,,57.57077026,,,,,73.32198334,,74.11122131,,,,,,,,80.94667053,,80.72583771
Japan,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,82.08641815,,,,,,,,99.34056091,,95.56716156,,,,,,,,,99.45867157,,
Kenya,,,,,,,,,,,,,,32.91159821,29.07374954,,,,,,,,,,
Kyrgyz Republic,,,,89.24233246,,,,,,,,,,95.69284058,,,,,,,,,,,
Cambodia,,,,,,,,,,,,15.21222019,16.95288086,15.50477028,,,,,12.18023968,12.33611012,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",71.92485046,,,,77.04573822,,,,,80.48001099,,,,77.86541748,82.90116882,,,,,85.72084045,,,,,
Kuwait,,,,,,,,,,43.57804871,44.80627823,46.27616882,48.88441849,,,,56.03297043,50.83049011,,55.87210083,,56.08047104,55.93238831,,
Latin America & Caribbean (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,
Lao PDR,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,54.2877388,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,46.69789124,,,45.6321907,,,,,,46.80313873,
Latin America & Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,
Least developed countries: UN classification,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,96.67192078,,,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,74.81494904,,,,,,,73.93102264,74.02557373,,,,,,,81.6128006,82.26862335,82.8659668,81.03019714,84.08959961
Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,
Low & middle income,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,,25.5813694,,20.87196922,,,,,,,,,,,,
Late-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,86.9803772,88.07022095,88.55670929,89.56191254,90.24073029,90.95951843,91.63420105,91.41516876,92.28945923,93.06397247,93.78500366,95.17816925,95.60077667,,,96.61126709
Luxembourg,,,,,,71.0187912,,65.44493103,,,,77.88555908,,,,,,,,,,,,,
Latvia,,,,,,,,,96.97551727,97.99736786,98.25396729,97.41886139,97.9207077,98.44300842,98.70713043,98.78916168,98.93100739,98.97740173,99.42201233,99.27649689,99.23863983,,,,
"Macao SAR, China",,,,,,52.27605057,,,,,60.56866074,,,,,68.50891113,,,,,73.3394165,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,91.71568298,92.46587372,93.3312912,93.78920746,94.31947327,95.03304291,95.49427795,96.17194366,96.37618256,,,97.28971863,96.95733643,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,28.52012062,,
Maldives,,,,,,,,,,,15.8766098,,,,,,,,,,,,,,
Middle East & North Africa,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,40.40047836,,,,47.95573044,47.67649078,51.79719162,51.81230164,52.8056488,54.36455917,53.08692169,,58.01192093,56.55838013,57.48696899,59.53876114,59.71266937,61.1710701,63.23591995,,65.84581757
Marshall Islands,,,,,,,,,,,,,,,,92.06073761,,,,,,,,,
Middle income,,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,,,,,,,47.79695129,,,,,,,,,,,,,,,,,,68.48757172
Mali,,,,,,,,,,,10.32546043,,,,,10.93435955,,,,9.942299843,7.794980049,,10.04080963,,11.58090019
Malta,,,,,39.10425186,,,,,63.17918015,,62.53916931,,,68.13394165,69.74372864,73.2910614,75.63938904,76.88651276,77.57135773,78.21851349,,82.17867279,,85.23805237
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,42.63027954,
Middle East & North Africa (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,83.53424835,,,,,,,,89.42460632,,,,,,,,,
Mongolia,,,,,80.21102905,,,,,,,,,,84.71324158,,,,,,,,,,76.29425049
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,15.67187977,,13.86287975,,,,16.84741974,,14.95792007,,,
Mauritania,,,,,,,,,,,,,,,,,,15.06033993,,,,,,,
Mauritius,,,,,39.10425186,,,,,,,,,,,54.24467087,,,,,,,,,
Malawi,,,8.572500229,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,49.71852875,,,56.48104858,,,,,46.49726868,,,,66.94400024,68.21572113,,,,,,74.20723724,,,76.77797699,
North America,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,28.51387024,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,8.365249634,,,,,,,,
Nigeria,,,,,,,,,,,49.41986084,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,89.16616821,88.98800659,,90.2390976,89.46806335,89.44335938,89.52279663,89.43125153,89.85910797,89.41146088,89.3653717,89.48812103,89.71404266,,90.36831665,,91.21778107
Norway,,,,,,,,,99.82189178,99.82627869,99.8086319,99.8128891,99.72479248,99.70300293,99.70407867,99.59889984,,,99.20953369,99.22878265,99.23400879,99.24034119,,99.18823242,
Nepal,,,,,,22.89823914,,,,,,,,,,26.59995079,,,,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,81.91979218
OECD members,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,39.38531113,,,,,53.95830917,,52.31838989,,,,,66.41921997,,,,,98.80319214
Other small states,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,21.42124939,32.45790863,,31.21846008,32.20325089,33.38510132,33.24782181,34.9753685,35.42733002,37.33127975,,37.33127975,36.43153,19.92160034,25.7791996,
Panama,,,,,47.4888916,,,,,,,,,,61.4902916,,,,,,,,,69.472229,
Peru,,,,,,,,,61.67876816,50.221241,49.67649078,52.60897827,52.8875618,52.95555115,59.17739868,59.60076904,61.13909149,61.89612961,61.95404816,62.29687881,,,64.11273193,,
Philippines,,,,,50.46170044,,,,63.58699036,,,,64.86772919,,66.76354218,,,70.0585022,,,,59.41093826,,71.23249054,
Palau,,,,,,,,,,,,,,,,,,97.12306976,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,78.8859787,79.9776001,80.90155029,81.68292236,82.29741669,83.14234924,83.85263062,,85.32792664,,,,88.50858307
Pre-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,81.56421661,,,,,,,,,,,80.16651154,80.00411224,,,,,88.4521637,,,
"Korea, Dem. People's Rep.",,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,23.64028931,24.29987907,25.26030922,26.32826996,27.21850014,29.21385002,31.89912033,33.44721985,34.99423981,35.54578018,37.54618835,39.66418076,41.30255127,45.00740051,47.23015976,49.28514862,51.44493866,52.7052002,54.19124985,55.18072128,54.30302048,57.95312119,60.74588013
Paraguay,,,,,,,,34.87414169,,41.73162079,38.75701141,36.95869064,38.79510117,32.92855835,,,42.6785202,46.66381836,46.69829941,49.06567001,47.79610062,,50.11856079,52.61434174,53.24330902
West Bank and Gaza,,,,,,,,,45.35752869,,47.33298874,49.13471985,50.07332993,52.11341858,52.6599617,54.26387024,56.69453049,58.02111816,58.7723999,60.39899826,61.10198975,62.08715057,64.24536896,,67.78037262
Pacific island small states,,,,,,,,,,,,,,,,,,,,,,,,,
Post-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,69.39904022,,,,,,,,,,,,,
Qatar,,,,,,,,,54.09366989,,,63.91347122,66.17794037,63.41226959,50.86433029,52.58201981,60.46305084,69.48751068,68.37606812,,67.49636078,68.00855255,,,
Romania,,,,,,,79.18251801,,,,,85.65705872,86.36398315,86.78147125,87.2773819,88.2002182,88.91441345,89.43608093,89.05052185,89.48690796,90.00440979,90.52903748,,91.16201019,
Russian Federation,,,,,,,97.15455627,,,,,,,,93.84792328,,,,,,,,,,
Rwanda,,,,,,,,,,,,,,,,,12.1764698,,11.97416019,,,,13.40441036,,
South Asia,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,42.75268173,,,,48.79814148,,,,,,,,,66.50885773,,,,68.8482132,,,77.20741272
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,7.547190189,,,,,10.84601021,,13.88541985,,,,17.8248291,,,
Singapore,58.08678818,,,,,,,,,70.76878357,71.87992859,73.01171875,74.94879913,74.79691315,76.19834137,76.69959259,77.39111328,78.13448334,78.58763123,79.36824799,79.60723877,80.00772858,81.4235611,82.17804718,83.05854034
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,18.93704987,,,,,,,,,,,,,,,,
El Salvador,,,,,,,,,,,34.01156998,34.52624893,36.60345078,37.47319031,41.69395828,38.55696869,39.81858826,41.0379715,,,43.24663162,42.78339005,,46.54439926,46.5712204
San Marino,,,,,,,,,,,,,,,,,,,,,,,82.96025085,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,
